p1_dataset,p1_split,record_id,published_pretraining_split
cpsc2018_mc,train,A5609,train
cpsc2018_mc,train,A0512,test
cpsc2018_mc,train,A4719,train
cpsc2018_mc,train,A2358,valid
cpsc2018_mc,train,A0356,test
cpsc2018_mc,train,A5817,train
cpsc2018_mc,train,A3133,valid
cpsc2018_mc,train,A5190,valid
cpsc2018_mc,train,A2920,train
cpsc2018_mc,train,A4403,test
cpsc2018_mc,train,A6527,train
cpsc2018_mc,train,A4697,train
cpsc2018_mc,train,A4386,train
cpsc2018_mc,train,A4429,train
cpsc2018_mc,train,A5972,train
cpsc2018_mc,train,A0588,train
cpsc2018_mc,train,A0017,train
cpsc2018_mc,train,A3757,train
cpsc2018_mc,train,A2569,test
cpsc2018_mc,train,A6765,train
cpsc2018_mc,train,A4913,train
cpsc2018_mc,train,A3794,test
cpsc2018_mc,train,A1546,train
cpsc2018_mc,train,A4767,train
cpsc2018_mc,train,A2842,train
cpsc2018_mc,train,A1531,test
cpsc2018_mc,train,A3831,train
cpsc2018_mc,train,A5084,train
cpsc2018_mc,train,A6292,train
cpsc2018_mc,train,A3073,train
cpsc2018_mc,train,A6473,train
cpsc2018_mc,train,A2777,train
cpsc2018_mc,train,A2736,train
cpsc2018_mc,train,A1635,train
cpsc2018_mc,train,A0295,train
cpsc2018_mc,train,A4269,train
cpsc2018_mc,train,A5934,train
cpsc2018_mc,train,A4630,train
cpsc2018_mc,train,A1434,train
cpsc2018_mc,train,A5041,test
cpsc2018_mc,train,A5344,test
cpsc2018_mc,train,A5516,test
cpsc2018_mc,train,A5450,train
cpsc2018_mc,train,A3488,train
cpsc2018_mc,train,A2782,train
cpsc2018_mc,train,A6758,train
cpsc2018_mc,train,A0620,train
cpsc2018_mc,train,A2268,train
cpsc2018_mc,train,A3152,train
cpsc2018_mc,train,A6430,test
cpsc2018_mc,train,A5504,train
cpsc2018_mc,train,A5546,valid
cpsc2018_mc,train,A0095,train
cpsc2018_mc,train,A1903,train
cpsc2018_mc,train,A2312,train
cpsc2018_mc,train,A4539,train
cpsc2018_mc,train,A6768,train
cpsc2018_mc,train,A4756,train
cpsc2018_mc,train,A3661,train
cpsc2018_mc,train,A4127,train
cpsc2018_mc,train,A2164,train
cpsc2018_mc,train,A5209,valid
cpsc2018_mc,train,A1769,train
cpsc2018_mc,train,A6869,train
cpsc2018_mc,train,A6450,train
cpsc2018_mc,train,A0211,train
cpsc2018_mc,train,A0805,train
cpsc2018_mc,train,A2483,train
cpsc2018_mc,train,A6443,train
cpsc2018_mc,train,A6468,train
cpsc2018_mc,train,A3697,train
cpsc2018_mc,train,A2611,train
cpsc2018_mc,train,A5398,train
cpsc2018_mc,train,A3718,train
cpsc2018_mc,train,A6133,train
cpsc2018_mc,train,A1386,train
cpsc2018_mc,train,A5561,train
cpsc2018_mc,train,A1352,train
cpsc2018_mc,train,A4529,train
cpsc2018_mc,train,A3398,train
cpsc2018_mc,train,A5289,valid
cpsc2018_mc,train,A0615,train
cpsc2018_mc,train,A4840,train
cpsc2018_mc,train,A3838,train
cpsc2018_mc,train,A3128,train
cpsc2018_mc,train,A2323,test
cpsc2018_mc,train,A5109,train
cpsc2018_mc,train,A0257,train
cpsc2018_mc,train,A4260,train
cpsc2018_mc,train,A1130,train
cpsc2018_mc,train,A1195,test
cpsc2018_mc,train,A5891,train
cpsc2018_mc,train,A4530,train
cpsc2018_mc,train,A2388,valid
cpsc2018_mc,train,A4341,train
cpsc2018_mc,train,A0584,train
cpsc2018_mc,train,A3028,train
cpsc2018_mc,train,A1164,train
cpsc2018_mc,train,A1106,train
cpsc2018_mc,train,A1474,train
cpsc2018_mc,train,A6114,train
cpsc2018_mc,train,A2851,train
cpsc2018_mc,train,A5551,train
cpsc2018_mc,train,A5673,train
cpsc2018_mc,train,A4304,train
cpsc2018_mc,train,A1087,train
cpsc2018_mc,train,A0284,train
cpsc2018_mc,train,A0474,valid
cpsc2018_mc,train,A5311,train
cpsc2018_mc,train,A0020,test
cpsc2018_mc,train,A2839,train
cpsc2018_mc,train,A0249,train
cpsc2018_mc,train,A3255,train
cpsc2018_mc,train,A1879,train
cpsc2018_mc,train,A0074,train
cpsc2018_mc,train,A1210,train
cpsc2018_mc,train,A5739,test
cpsc2018_mc,train,A0181,train
cpsc2018_mc,train,A6741,train
cpsc2018_mc,train,A1624,train
cpsc2018_mc,train,A0415,train
cpsc2018_mc,train,A1882,test
cpsc2018_mc,train,A5290,train
cpsc2018_mc,train,A4141,train
cpsc2018_mc,train,A1484,valid
cpsc2018_mc,train,A1517,test
cpsc2018_mc,train,A0775,train
cpsc2018_mc,train,A2003,valid
cpsc2018_mc,train,A1253,train
cpsc2018_mc,train,A2256,train
cpsc2018_mc,train,A3538,train
cpsc2018_mc,train,A1907,train
cpsc2018_mc,train,A1135,train
cpsc2018_mc,train,A5392,train
cpsc2018_mc,train,A3693,train
cpsc2018_mc,train,A0037,train
cpsc2018_mc,train,A3265,valid
cpsc2018_mc,train,A5020,train
cpsc2018_mc,train,A2655,train
cpsc2018_mc,train,A1646,train
cpsc2018_mc,train,A4568,train
cpsc2018_mc,train,A4761,train
cpsc2018_mc,train,A6211,train
cpsc2018_mc,train,A0686,train
cpsc2018_mc,train,A1870,train
cpsc2018_mc,train,A0201,train
cpsc2018_mc,train,A5524,train
cpsc2018_mc,train,A2049,train
cpsc2018_mc,train,A0517,test
cpsc2018_mc,train,A0244,train
cpsc2018_mc,train,A6871,train
cpsc2018_mc,train,A4149,train
cpsc2018_mc,train,A2342,train
cpsc2018_mc,train,A5161,train
cpsc2018_mc,train,A1541,train
cpsc2018_mc,train,A3321,valid
cpsc2018_mc,train,A1782,train
cpsc2018_mc,train,A3855,train
cpsc2018_mc,train,A5134,valid
cpsc2018_mc,train,A5588,train
cpsc2018_mc,train,A3016,train
cpsc2018_mc,train,A5360,train
cpsc2018_mc,train,A5280,train
cpsc2018_mc,train,A5632,train
cpsc2018_mc,train,A0192,train
cpsc2018_mc,train,A1292,train
cpsc2018_mc,train,A1665,train
cpsc2018_mc,train,A4799,train
cpsc2018_mc,train,A0513,train
cpsc2018_mc,train,A3154,train
cpsc2018_mc,train,A3226,train
cpsc2018_mc,train,A0351,train
cpsc2018_mc,train,A1509,train
cpsc2018_mc,train,A4548,train
cpsc2018_mc,train,A1706,train
cpsc2018_mc,train,A6780,train
cpsc2018_mc,train,A2580,train
cpsc2018_mc,train,A5794,train
cpsc2018_mc,train,A3201,valid
cpsc2018_mc,train,A0737,train
cpsc2018_mc,train,A3788,train
cpsc2018_mc,train,A4250,train
cpsc2018_mc,train,A1583,train
cpsc2018_mc,train,A4329,train
cpsc2018_mc,train,A1025,train
cpsc2018_mc,train,A1657,test
cpsc2018_mc,train,A2111,train
cpsc2018_mc,train,A6560,valid
cpsc2018_mc,train,A5919,train
cpsc2018_mc,train,A5715,train
cpsc2018_mc,train,A0509,train
cpsc2018_mc,train,A3489,train
cpsc2018_mc,train,A6805,train
cpsc2018_mc,train,A3439,train
cpsc2018_mc,train,A2844,train
cpsc2018_mc,train,A2786,train
cpsc2018_mc,train,A5049,train
cpsc2018_mc,train,A3187,test
cpsc2018_mc,train,A0521,train
cpsc2018_mc,train,A1158,train
cpsc2018_mc,train,A0749,train
cpsc2018_mc,train,A4409,train
cpsc2018_mc,train,A4367,train
cpsc2018_mc,train,A2077,train
cpsc2018_mc,train,A4867,train
cpsc2018_mc,train,A3169,train
cpsc2018_mc,train,A1072,train
cpsc2018_mc,train,A2391,valid
cpsc2018_mc,train,A0480,train
cpsc2018_mc,train,A2712,train
cpsc2018_mc,train,A6380,train
cpsc2018_mc,train,A1108,train
cpsc2018_mc,train,A0537,train
cpsc2018_mc,train,A3598,train
cpsc2018_mc,train,A2501,train
cpsc2018_mc,train,A3959,train
cpsc2018_mc,train,A0289,train
cpsc2018_mc,train,A1194,train
cpsc2018_mc,train,A2785,train
cpsc2018_mc,train,A0585,train
cpsc2018_mc,train,A1968,train
cpsc2018_mc,train,A2052,train
cpsc2018_mc,train,A2083,train
cpsc2018_mc,train,A0100,train
cpsc2018_mc,train,A4612,train
cpsc2018_mc,train,A0413,train
cpsc2018_mc,train,A4889,train
cpsc2018_mc,train,A5744,train
cpsc2018_mc,train,A0340,valid
cpsc2018_mc,train,A0054,valid
cpsc2018_mc,train,A3325,test
cpsc2018_mc,train,A6040,train
cpsc2018_mc,train,A0059,test
cpsc2018_mc,train,A6574,train
cpsc2018_mc,train,A4393,train
cpsc2018_mc,train,A1152,train
cpsc2018_mc,train,A6764,train
cpsc2018_mc,train,A5532,train
cpsc2018_mc,train,A5008,train
cpsc2018_mc,train,A4875,valid
cpsc2018_mc,train,A0355,train
cpsc2018_mc,train,A5465,test
cpsc2018_mc,train,A3120,train
cpsc2018_mc,train,A2252,train
cpsc2018_mc,train,A5675,train
cpsc2018_mc,train,A3591,valid
cpsc2018_mc,train,A4690,train
cpsc2018_mc,train,A5256,valid
cpsc2018_mc,train,A5402,train
cpsc2018_mc,train,A3389,train
cpsc2018_mc,train,A2149,train
cpsc2018_mc,train,A4299,train
cpsc2018_mc,train,A6590,train
cpsc2018_mc,train,A1140,valid
cpsc2018_mc,train,A3516,test
cpsc2018_mc,train,A0467,train
cpsc2018_mc,train,A5138,train
cpsc2018_mc,train,A4906,train
cpsc2018_mc,train,A5431,train
cpsc2018_mc,train,A0823,train
cpsc2018_mc,train,A0448,train
cpsc2018_mc,train,A0048,train
cpsc2018_mc,train,A3199,train
cpsc2018_mc,train,A3278,train
cpsc2018_mc,train,A2955,train
cpsc2018_mc,train,A0881,valid
cpsc2018_mc,train,A0662,train
cpsc2018_mc,train,A0022,train
cpsc2018_mc,train,A1279,test
cpsc2018_mc,train,A6599,train
cpsc2018_mc,train,A4651,train
cpsc2018_mc,train,A1682,train
cpsc2018_mc,train,A0225,test
cpsc2018_mc,train,A4790,train
cpsc2018_mc,train,A1642,train
cpsc2018_mc,train,A1162,train
cpsc2018_mc,train,A2152,test
cpsc2018_mc,train,A1914,train
cpsc2018_mc,train,A6855,train
cpsc2018_mc,train,A0785,train
cpsc2018_mc,train,A4509,test
cpsc2018_mc,train,A5782,train
cpsc2018_mc,train,A0116,train
cpsc2018_mc,train,A5836,test
cpsc2018_mc,train,A5928,train
cpsc2018_mc,train,A5541,train
cpsc2018_mc,train,A6679,valid
cpsc2018_mc,train,A1784,train
cpsc2018_mc,train,A3436,train
cpsc2018_mc,train,A4244,valid
cpsc2018_mc,train,A5684,test
cpsc2018_mc,train,A6083,valid
cpsc2018_mc,train,A2564,train
cpsc2018_mc,train,A5981,train
cpsc2018_mc,train,A1306,train
cpsc2018_mc,train,A3958,train
cpsc2018_mc,train,A1173,test
cpsc2018_mc,train,A6711,train
cpsc2018_mc,train,A2952,valid
cpsc2018_mc,train,A1316,test
cpsc2018_mc,train,A1972,train
cpsc2018_mc,train,A2890,valid
cpsc2018_mc,train,A1945,train
cpsc2018_mc,train,A6465,train
cpsc2018_mc,train,A4177,train
cpsc2018_mc,train,A1575,train
cpsc2018_mc,train,A3060,train
cpsc2018_mc,train,A3616,train
cpsc2018_mc,train,A0446,train
cpsc2018_mc,train,A6044,train
cpsc2018_mc,train,A0357,train
cpsc2018_mc,train,A6631,train
cpsc2018_mc,train,A4271,train
cpsc2018_mc,train,A3253,train
cpsc2018_mc,train,A5591,train
cpsc2018_mc,train,A2553,train
cpsc2018_mc,train,A1961,train
cpsc2018_mc,train,A6826,train
cpsc2018_mc,train,A2416,valid
cpsc2018_mc,train,A3684,train
cpsc2018_mc,train,A0765,train
cpsc2018_mc,train,A2300,test
cpsc2018_mc,train,A1490,valid
cpsc2018_mc,train,A0408,test
cpsc2018_mc,train,A4187,train
cpsc2018_mc,train,A4088,train
cpsc2018_mc,train,A1242,test
cpsc2018_mc,train,A2347,train
cpsc2018_mc,train,A3603,train
cpsc2018_mc,train,A3664,train
cpsc2018_mc,train,A4653,test
cpsc2018_mc,train,A4183,train
cpsc2018_mc,train,A2987,train
cpsc2018_mc,train,A6534,train
cpsc2018_mc,train,A1117,test
cpsc2018_mc,train,A4616,train
cpsc2018_mc,train,A6491,train
cpsc2018_mc,train,A1313,train
cpsc2018_mc,train,A4997,train
cpsc2018_mc,train,A4124,train
cpsc2018_mc,train,A2234,train
cpsc2018_mc,train,A1742,test
cpsc2018_mc,train,A5986,train
cpsc2018_mc,train,A1871,train
cpsc2018_mc,train,A4397,train
cpsc2018_mc,train,A4878,train
cpsc2018_mc,train,A0833,train
cpsc2018_mc,train,A5790,train
cpsc2018_mc,train,A0482,test
cpsc2018_mc,train,A4025,train
cpsc2018_mc,train,A1918,train
cpsc2018_mc,train,A6821,test
cpsc2018_mc,train,A3230,train
cpsc2018_mc,train,A4190,train
cpsc2018_mc,train,A1731,valid
cpsc2018_mc,train,A6355,train
cpsc2018_mc,train,A4089,train
cpsc2018_mc,train,A6866,valid
cpsc2018_mc,train,A1452,train
cpsc2018_mc,train,A0309,train
cpsc2018_mc,train,A2588,train
cpsc2018_mc,train,A6633,train
cpsc2018_mc,train,A5724,train
cpsc2018_mc,train,A3754,train
cpsc2018_mc,train,A5939,train
cpsc2018_mc,train,A3422,train
cpsc2018_mc,train,A4800,train
cpsc2018_mc,train,A0875,train
cpsc2018_mc,train,A3513,valid
cpsc2018_mc,train,A2384,train
cpsc2018_mc,train,A2455,train
cpsc2018_mc,train,A4306,train
cpsc2018_mc,train,A1951,test
cpsc2018_mc,train,A2132,test
cpsc2018_mc,train,A0634,train
cpsc2018_mc,train,A4015,train
cpsc2018_mc,train,A4449,train
cpsc2018_mc,train,A2226,train
cpsc2018_mc,train,A5965,train
cpsc2018_mc,train,A1915,train
cpsc2018_mc,train,A5999,test
cpsc2018_mc,train,A4310,valid
cpsc2018_mc,train,A1287,test
cpsc2018_mc,train,A1896,train
cpsc2018_mc,train,A0353,train
cpsc2018_mc,train,A6205,train
cpsc2018_mc,train,A1230,train
cpsc2018_mc,train,A3233,train
cpsc2018_mc,train,A5323,train
cpsc2018_mc,train,A2669,train
cpsc2018_mc,train,A3334,train
cpsc2018_mc,train,A5970,train
cpsc2018_mc,train,A5449,train
cpsc2018_mc,train,A4202,train
cpsc2018_mc,train,A5186,train
cpsc2018_mc,train,A2159,train
cpsc2018_mc,train,A3657,train
cpsc2018_mc,train,A0275,train
cpsc2018_mc,train,A0461,train
cpsc2018_mc,train,A2172,train
cpsc2018_mc,train,A0606,valid
cpsc2018_mc,train,A0410,train
cpsc2018_mc,train,A2385,train
cpsc2018_mc,train,A0887,train
cpsc2018_mc,train,A5740,train
cpsc2018_mc,train,A3724,train
cpsc2018_mc,train,A4356,valid
cpsc2018_mc,train,A2351,train
cpsc2018_mc,train,A0830,train
cpsc2018_mc,train,A3752,train
cpsc2018_mc,train,A0894,train
cpsc2018_mc,train,A0206,train
cpsc2018_mc,train,A2843,train
cpsc2018_mc,train,A5770,train
cpsc2018_mc,train,A2864,valid
cpsc2018_mc,train,A2238,train
cpsc2018_mc,train,A2209,train
cpsc2018_mc,train,A3418,train
cpsc2018_mc,train,A2868,train
cpsc2018_mc,train,A1716,train
cpsc2018_mc,train,A2586,train
cpsc2018_mc,train,A0580,train
cpsc2018_mc,train,A2950,valid
cpsc2018_mc,train,A0747,train
cpsc2018_mc,train,A6372,valid
cpsc2018_mc,train,A6737,train
cpsc2018_mc,train,A5950,train
cpsc2018_mc,train,A3915,train
cpsc2018_mc,train,A5786,train
cpsc2018_mc,train,A3650,train
cpsc2018_mc,train,A2290,train
cpsc2018_mc,train,A1707,train
cpsc2018_mc,train,A4173,valid
cpsc2018_mc,train,A5695,train
cpsc2018_mc,train,A6309,valid
cpsc2018_mc,train,A6227,train
cpsc2018_mc,train,A3126,train
cpsc2018_mc,train,A2838,valid
cpsc2018_mc,train,A3742,train
cpsc2018_mc,train,A1341,train
cpsc2018_mc,train,A2019,train
cpsc2018_mc,train,A2657,train
cpsc2018_mc,train,A4178,train
cpsc2018_mc,train,A0018,valid
cpsc2018_mc,train,A6218,valid
cpsc2018_mc,train,A4092,train
cpsc2018_mc,train,A6734,train
cpsc2018_mc,train,A4874,train
cpsc2018_mc,train,A6361,train
cpsc2018_mc,train,A5310,train
cpsc2018_mc,train,A1833,train
cpsc2018_mc,train,A1497,test
cpsc2018_mc,train,A1523,valid
cpsc2018_mc,train,A6189,train
cpsc2018_mc,train,A5778,train
cpsc2018_mc,train,A3395,train
cpsc2018_mc,train,A0811,train
cpsc2018_mc,train,A5133,train
cpsc2018_mc,train,A5777,train
cpsc2018_mc,train,A4905,valid
cpsc2018_mc,train,A5712,train
cpsc2018_mc,train,A3836,train
cpsc2018_mc,train,A5698,train
cpsc2018_mc,train,A6297,train
cpsc2018_mc,train,A2206,train
cpsc2018_mc,train,A5685,train
cpsc2018_mc,train,A0843,train
cpsc2018_mc,train,A1353,train
cpsc2018_mc,train,A5160,train
cpsc2018_mc,train,A2365,test
cpsc2018_mc,train,A3980,train
cpsc2018_mc,train,A0741,train
cpsc2018_mc,train,A0643,train
cpsc2018_mc,train,A2704,train
cpsc2018_mc,train,A4275,train
cpsc2018_mc,train,A4780,train
cpsc2018_mc,train,A0989,train
cpsc2018_mc,train,A3155,train
cpsc2018_mc,train,A0010,train
cpsc2018_mc,train,A4301,train
cpsc2018_mc,train,A3823,train
cpsc2018_mc,train,A4204,train
cpsc2018_mc,train,A4742,train
cpsc2018_mc,train,A1654,train
cpsc2018_mc,train,A5850,train
cpsc2018_mc,train,A0601,train
cpsc2018_mc,train,A0818,train
cpsc2018_mc,train,A2637,train
cpsc2018_mc,train,A0759,test
cpsc2018_mc,train,A5600,train
cpsc2018_mc,train,A2859,train
cpsc2018_mc,train,A0468,train
cpsc2018_mc,train,A2783,train
cpsc2018_mc,train,A0039,train
cpsc2018_mc,train,A2745,train
cpsc2018_mc,train,A0053,train
cpsc2018_mc,train,A5259,train
cpsc2018_mc,train,A1674,train
cpsc2018_mc,train,A5834,train
cpsc2018_mc,train,A6221,valid
cpsc2018_mc,train,A1318,train
cpsc2018_mc,train,A5425,train
cpsc2018_mc,train,A6496,train
cpsc2018_mc,train,A6557,train
cpsc2018_mc,train,A1749,valid
cpsc2018_mc,train,A4843,train
cpsc2018_mc,train,A0072,train
cpsc2018_mc,train,A2178,test
cpsc2018_mc,train,A2432,train
cpsc2018_mc,train,A3207,valid
cpsc2018_mc,train,A4294,train
cpsc2018_mc,train,A3626,train
cpsc2018_mc,train,A0256,test
cpsc2018_mc,train,A4817,train
