record_id,sample,seconds,symbol,aux_note
418,301076,1204.304,+,(N
418,301525,1206.1,+,(VFL
418,301711,1206.844,+,(N
418,302230,1208.92,+,(VFL
418,302538,1210.152,+,(N
418,302871,1211.484,+,(VFL
418,303346,1213.384,+,(N
418,303641,1214.564,+,(VFL
418,304634,1218.536,+,(N
418,311442,1245.768,+,(VFL
418,311807,1247.228,+,(N
418,312096,1248.384,+,(VFL
418,313480,1253.92,+,(N
418,313826,1255.304,+,(VFL
418,314173,1256.692,+,(N
418,314493,1257.972,+,(VFL
418,316807,1267.228,+,(N
418,317237,1268.948,+,(VFL
418,317480,1269.92,+,(N
418,318682,1274.728,+,(VFL
418,319769,1279.076,+,(N
418,327480,1309.92,+,(VFL
418,329038,1316.152,+,(N
418,329365,1317.46,+,(VFL
418,329749,1318.996,+,(N
418,333826,1335.304,+,(VFL
418,334211,1336.844,+,(N
418,339769,1359.076,+,(VFL
418,340019,1360.076,+,(N
418,346634,1386.536,+,(VFL
418,347038,1388.152,+,(N
418,347403,1389.612,+,(VFL
418,347730,1390.92,+,(N
418,357634,1430.536,+,(VFL
418,358403,1433.612,+,(N
418,362711,1450.844,+,(VFL
418,363115,1452.46,+,(N
418,367749,1470.996,+,(VFL
418,368134,1472.536,+,(N
418,368583,1474.332,+,(VFL
418,369211,1476.844,+,(N
418,370153,1480.612,+,(VFL
418,370557,1482.228,+,(N
418,370971,1483.884,+,(VFL
418,371653,1486.612,+,(N
418,372041,1488.164,+,(VFL
418,372692,1490.768,+,(N
418,373076,1492.304,+,(VFL
418,374961,1499.844,+,(N
418,384096,1536.384,+,(VFL
418,384942,1539.768,+,(N
418,386903,1547.612,+,(VFL
418,389365,1557.46,+,(N
418,396833,1587.332,+,(VFL
418,397249,1588.996,+,(N
418,400769,1603.076,+,(VFL
418,401423,1605.692,+,(N
419,18,0.072,+,(N
419,10201,40.804,+,(VFL
419,11326,45.304,+,(N
419,17391,69.564,+,(VFL
419,18115,72.46,+,(N
419,18621,74.484,+,(VFL
419,19326,77.304,+,(N
419,20064,80.256,+,(VFL
419,20381,81.524,+,(N
419,20583,82.332,+,(VFL
419,20903,83.612,+,(N
419,22153,88.612,+,(VFL
419,22538,90.152,+,(N
419,22990,91.96,+,(VFL
419,23269,93.076,+,(N
419,23560,94.24,+,(VFL
419,23846,95.384,+,(N
419,26499,105.996,+,(VFL
419,26788,107.152,+,(N
419,27621,110.484,+,(VFL
419,28211,112.844,+,(N
419,31141,124.564,+,(VFL
419,31653,126.612,+,(N
419,32557,130.228,+,(VFL
419,32826,131.304,+,(N
419,33852,135.408,+,(VFL
419,34115,136.46,+,(N
419,35544,142.176,+,(VFL
419,35807,143.228,+,(N
419,37221,148.884,+,(VFL
419,37480,149.92,+,(N
419,38903,155.612,+,(VFL
419,39173,156.692,+,(N
419,39576,158.304,+,(VFL
419,40076,160.304,+,(N
419,40865,163.46,+,(VFL
419,41634,166.536,+,(N
419,43102,172.408,+,(VFL
419,43403,173.612,+,(N
419,44423,177.692,+,(VFL
419,44999,179.996,+,(N
419,45817,183.268,+,(VFL
419,46480,185.92,+,(N
419,47615,190.46,+,(VFL
419,47923,191.692,+,(N
419,48307,193.228,+,(VFL
419,48615,194.46,+,(N
419,49583,198.332,+,(VFL
419,49884,199.536,+,(N
419,50852,203.408,+,(VFL
419,51173,204.692,+,(N
419,51564,206.256,+,(VFL
419,51865,207.46,+,(N
419,53099,212.396,+,(VFL
419,53403,213.612,+,(N
419,144330,577.32,+,(VFL
419,162788,651.152,+,(NOISE
419,187903,751.612,+,(N
419,229923,919.692,+,(VFL
419,238788,955.152,+,(NOISE
419,241115,964.46,+,(N
419,345211,1380.844,+,(VFL
419,354826,1419.304,+,(NOISE
419,423830,1695.32,+,(VFL
419,424942,1699.768,+,(NOISE
419,487737,1950.948,+,(VFL
419,488961,1955.844,+,(NOISE
419,492596,1970.384,+,(VFL
419,493942,1975.768,+,(NOISE
420,18,0.072,+,(N
420,41557,166.228,+,(NOISE
420,69038,276.152,+,(N
420,357538,1430.152,+,(VT
420,397692,1590.768,+,(NOISE
420,398673,1594.692,+,(VT
420,402115,1608.46,+,(NOISE
420,404653,1618.612,+,(VT
420,431576,1726.304,+,(NOISE
421,18,0.072,+,(N
421,903,3.612,+,(NOISE
421,6961,27.844,+,(N
421,16807,67.228,+,(NOISE
421,18115,72.46,+,(N
421,32596,130.384,+,(NOISE
421,33519,134.076,+,(N
421,39576,158.304,+,(NOISE
421,62019,248.076,+,(N
421,68249,272.996,+,(NOISE
421,74230,296.92,+,(N
421,77423,309.692,+,(NOISE
421,79096,316.384,+,(N
421,81442,325.768,+,(NOISE
421,83826,335.304,+,(N
421,88423,353.692,+,(NOISE
421,94903,379.612,+,(N
421,104615,418.46,+,(NOISE
421,107711,430.844,+,(N
421,112057,448.228,+,(NOISE
421,114730,458.92,+,(N
421,162615,650.46,+,(NOISE
421,164230,656.92,+,(N
421,180269,721.076,+,(NOISE
421,204134,816.536,+,(N
421,208403,833.612,+,(NOISE
421,215903,863.612,+,(N
421,223538,894.152,+,(VT
421,224846,899.384,+,(N
421,227865,911.46,+,(VT
421,228634,914.536,+,(N
421,229326,917.304,+,(VT
421,229846,919.384,+,(N
421,230115,920.46,+,(VT
421,230576,922.304,+,(N
421,230884,923.536,+,(VT
421,231538,926.152,+,(N
421,231807,927.228,+,(VT
421,232249,928.996,+,(N
421,232461,929.844,+,(VT
421,232865,931.46,+,(N
421,233115,932.46,+,(VT
421,233749,934.996,+,(N
421,234365,937.46,+,(VT
421,235019,940.076,+,(N
421,235615,942.46,+,(VT
421,236326,945.304,+,(N
421,236653,946.612,+,(VT
421,237173,948.692,+,(N
421,237403,949.612,+,(VT
421,237826,951.304,+,(N
421,238134,952.536,+,(VT
421,238596,954.384,+,(N
421,238884,955.536,+,(VT
421,239269,957.076,+,(N
421,239615,958.46,+,(VT
421,240057,960.228,+,(N
421,240326,961.304,+,(VT
421,240730,962.92,+,(N
421,241038,964.152,+,(VT
421,241442,965.768,+,(N
421,241769,967.076,+,(VT
421,242192,968.768,+,(N
421,258307,1033.228,+,(NOISE
421,260711,1042.844,+,(N
421,265192,1060.768,+,(NOISE
421,280173,1120.692,+,(N
421,281499,1125.996,+,(VT
421,285307,1141.228,+,(N
421,285673,1142.692,+,(VT
421,286730,1146.92,+,(N
421,287019,1148.076,+,(VT
421,287673,1150.692,+,(N
421,287961,1151.844,+,(VT
421,289019,1156.076,+,(N
421,289269,1157.076,+,(VT
421,290096,1160.384,+,(N
421,290461,1161.844,+,(VT
421,291307,1165.228,+,(N
421,291596,1166.384,+,(VT
421,292615,1170.46,+,(N
421,292980,1171.92,+,(VT
421,293903,1175.612,+,(N
421,294211,1176.844,+,(VT
421,294826,1179.304,+,(N
421,295192,1180.768,+,(VT
421,295942,1183.768,+,(N
421,296288,1185.152,+,(VT
421,297076,1188.304,+,(N
421,297346,1189.384,+,(VT
421,298096,1192.384,+,(N
421,298384,1193.536,+,(VT
421,299173,1196.692,+,(N
421,299442,1197.768,+,(VT
421,300192,1200.768,+,(N
421,300461,1201.844,+,(VT
421,301249,1204.996,+,(N
421,301519,1206.076,+,(VT
421,302269,1209.076,+,(N
421,302538,1210.152,+,(VT
421,303269,1213.076,+,(N
421,303634,1214.536,+,(VT
421,304826,1219.304,+,(N
421,305153,1220.612,+,(VT
421,305884,1223.536,+,(N
421,306134,1224.536,+,(VT
421,306961,1227.844,+,(N
421,307230,1228.92,+,(VT
421,308057,1232.228,+,(N
421,308442,1233.768,+,(VT
421,309480,1237.92,+,(N
421,309807,1239.228,+,(VT
421,311576,1246.304,+,(N
421,312711,1250.844,+,(VT
421,316365,1265.46,+,(NOISE
421,317365,1269.46,+,(N
421,318153,1272.612,+,(VT
421,320326,1281.304,+,(N
421,320826,1283.304,+,(VT
421,322269,1289.076,+,(N
421,322673,1290.692,+,(VT
421,324096,1296.384,+,(N
421,324519,1298.076,+,(VT
421,325923,1303.692,+,(N
421,326326,1305.304,+,(VT
421,328269,1313.076,+,(N
421,328615,1314.46,+,(VT
421,330230,1320.92,+,(N
421,330865,1323.46,+,(VT
421,332730,1330.92,+,(N
421,333961,1335.844,+,(VT
421,371519,1486.076,+,(N
421,508846,2035.384,+,(NOISE
421,512923,2051.692,+,(N
422,18,0.072,+,(N
422,69788,279.152,+,(NOISE
422,71019,284.076,+,(N
422,88653,354.612,+,(NOISE
422,92134,368.536,+,(N
422,103096,412.384,+,(NOISE
422,105134,420.536,+,(N
422,193192,772.768,+,(NOISE
422,194653,778.612,+,(N
422,204673,818.692,+,(NOISE
422,219499,877.996,+,(N
422,229730,918.92,+,(NOISE
422,240442,961.768,+,(N
422,242673,970.692,+,(NOISE
422,243980,975.92,+,(N
422,246615,986.46,+,(NOISE
422,248057,992.228,+,(N
422,250730,1002.92,+,(NOISE
422,253961,1015.844,+,(N
422,333211,1332.844,+,(VT
422,333711,1334.844,+,(N
422,333942,1335.768,+,(VT
422,382211,1528.844,+,(NOISE
422,383788,1535.152,+,(VFIB
422,507826,2031.304,+,(NOISE
422,508807,2035.228,+,(VFIB
422,510519,2042.076,+,(NOISE
422,511692,2046.768,+,(VFIB
422,515865,2063.46,+,(NOISE
423,18,0.072,+,(N
423,112288,449.152,+,(NOISE
423,115019,460.076,+,(N
423,224615,898.46,+,(VT
423,338519,1354.076,+,(NOISE
423,340057,1360.228,+,(ASYS
423,342615,1370.46,+,(NOD
423,348499,1393.996,+,(N
423,376557,1506.228,+,(AFIB
423,378423,1513.692,+,(N
423,387442,1549.768,+,(AFIB
423,388519,1554.076,+,(NOISE
424,18,0.072,+,(N
424,314749,1258.996,+,(VFIB
424,341173,1364.692,+,(NOISE
424,342634,1370.536,+,(ASYS
424,345788,1383.152,+,(NOD
424,360826,1443.304,+,(NSR
424,368961,1475.844,+,(VFL
424,383423,1533.692,+,(NOISE
424,384365,1537.46,+,(ASYS
424,396269,1585.076,+,(NOISE
424,397076,1588.304,+,(ASYS
424,398346,1593.384,+,(NOD
424,411461,1645.844,+,(NSR
424,458115,1832.46,+,(NOISE
425,18,0.072,+,(N
425,41134,164.536,+,(NOISE
425,46134,184.536,+,(N
425,63903,255.612,+,(NOISE
425,70153,280.612,+,(N
425,131403,525.612,+,(NOISE
425,135153,540.612,+,(N
425,223153,892.612,+,(NOISE
425,228903,915.612,+,(N
425,231653,926.612,+,(NOISE
425,232403,929.612,+,(VT
425,239602,958.408,+,(NOISE
425,256602,1026.408,+,(B
425,284624,1138.496,+,(N
425,286490,1145.96,+,(NOISE
425,318721,1274.884,+,(N
425,341971,1367.884,+,(NOISE
425,346471,1385.884,+,(N
425,360221,1440.884,+,(B
425,413663,1654.652,+,(N
426,18,0.072,+,(N
426,161432,645.728,+,(VF
426,291519,1166.076,+,(NOISE
426,343980,1375.92,+,(VF
426,360230,1440.92,+,(NOISE
426,395288,1581.152,+,(N
426,416961,1667.844,+,(VT
426,418384,1673.536,+,(NOISE
426,435211,1740.844,+,(VT
426,442538,1770.152,+,(SVTA
426,444269,1777.076,+,(VT
426,448115,1792.46,+,(SVTA
426,458522,1834.088,+,(VT
426,459791,1839.164,+,(SVTA
426,468003,1872.012,+,(VF
426,483753,1935.012,+,(NOISE
426,499753,1999.012,+,(N
427,18,0.072,+,(N
427,162124,648.496,+,(VT
427,383259,1533.036,+,(ASYS
428,38,0.152,+,(BI
428,416211,1664.844,+,(NOISE
428,419076,1676.304,+,(BI
428,421865,1687.46,+,(VT
428,422346,1689.384,+,(BI
428,430711,1722.844,+,(VT
428,431576,1726.304,+,(BI
428,480826,1923.304,+,(VT
428,491038,1964.152,+,(BI
429,41,0.164,+,(BI
429,100634,402.536,+,(VT
429,102134,408.536,+,(BI
429,218730,874.92,+,(NOISE
429,230634,922.536,+,(BI
429,244038,976.152,+,(NOISE
429,253403,1013.612,+,(BI
429,259653,1038.612,+,(NOISE
429,260519,1042.076,+,(BI
429,263923,1055.692,+,(NOISE
429,284749,1138.996,+,(BI
429,302115,1208.46,+,(NOISE
429,303807,1215.228,+,(BI
429,463807,1855.228,+,(VFL
429,466249,1864.996,+,(BI
429,486105,1944.42,+,(VT
429,486490,1945.96,+,(BI
429,486894,1947.576,+,(VT
429,487394,1949.576,+,(BI
429,493028,1972.112,+,(NOISE
429,495990,1983.96,+,(BI
429,498778,1995.112,+,(VFL
429,519298,2077.192,+,(BI
430,28,0.112,+,(BI
430,51903,207.612,+,(VT
430,53211,212.844,+,(BI
430,85615,342.46,+,(NOISE
430,93134,372.536,+,(BI
430,94423,377.692,+,(VT
430,94903,379.612,+,(BI
430,98596,394.384,+,(BI
430,99557,398.228,+,(VFL
430,118057,472.228,+,(NOISE
430,120807,483.228,+,(VF
430,131153,524.612,+,(ASYS
430,134519,538.076,+,(SBR
430,138076,552.304,+,(HGEA
430,156576,626.304,+,(VT
430,157923,631.692,+,(HGEA
430,163192,652.768,+,(VT
430,169179,676.716,+,(ASYS
430,170237,680.948,+,(HGEA
430,172275,689.1,+,(VT
430,173891,695.564,+,(HGEA
430,175429,701.716,+,(VF
430,193891,775.564,+,(ASYS
430,196217,784.868,+,(VF
430,273294,1093.176,+,(ASYS
430,274391,1097.564,+,(VF
430,310544,1242.176,+,(ASYS
430,315333,1261.332,+,(SBR
430,319871,1279.484,+,(VF
430,406794,1627.176,+,(ASYS
430,407102,1628.408,+,(VER
430,415025,1660.1,+,(VT
430,489621,1958.484,+,(VER
430,493794,1975.176,+,(VF
602,64,0.256,+,(PM
602,121275,485.1,+,(VT
602,121756,487.024,+,(PM
602,286814,1147.256,+,(VT
602,287333,1149.332,+,(PM
602,289352,1157.408,+,(VT
602,289910,1159.64,+,(PM
602,311833,1247.332,+,(VT
602,408525,1634.1,+,(ASYS
602,411044,1644.176,+,(N
602,422487,1689.948,+,(NOISE
602,467987,1871.948,+,(PM
605,64,0.256,+,(NOISE
605,411942,1647.768,+,(VT
605,419115,1676.46,+,(NOISE
607,38,0.152,+,(NOD
607,33461,133.844,+,(VT
607,33961,135.844,+,(NOD
607,395461,1581.844,+,(VT
607,428384,1713.536,+,(ASYS
607,450307,1801.228,+,(NOD
607,462134,1848.536,+,(VT
607,465134,1860.536,+,(SVTA
607,471519,1886.076,+,(VT
607,473673,1894.692,+,(SVTA
609,25,0.1,+,(AFIB
609,255275,1021.1,+,(VFL
609,260641,1042.564,+,(VER
609,262256,1049.024,+,(N
609,291506,1166.024,+,(VT
609,293102,1172.408,+,(HGEA
609,298641,1194.564,+,(N
609,313794,1255.176,+,(HGEA
609,324294,1297.176,+,(N
609,483179,1932.716,+,(HGEA
609,505179,2020.716,+,(N
609,520064,2080.256,+,(HGEA
610,13999,55.996,+,(N
610,28192,112.768,+,(HGEA
610,55826,223.304,+,(N
610,64326,257.304,+,(HGEA
610,76346,305.384,+,(N
610,92153,368.612,+,(HGEA
610,100884,403.536,+,(N
610,108923,435.692,+,(HGEA
610,122057,488.228,+,(N
610,133096,532.384,+,(HGEA
610,167999,671.996,+,(N
610,180807,723.228,+,(HGEA
610,190288,761.152,+,(N
610,202499,809.996,+,(HGEA
610,212999,851.996,+,(NOISE
610,214807,859.228,+,(N
610,218288,873.152,+,(NOISE
610,222846,891.384,+,(N
610,324423,1297.692,+,(HGEA
610,342442,1369.768,+,(N
610,417480,1669.92,+,(HGEA
610,428173,1712.692,+,(N
610,456365,1825.46,+,(HGEA
610,459865,1839.46,+,(VT
610,461326,1845.304,+,(HGEA
610,477076,1908.304,+,(N
611,38,0.152,+,(SVTA
611,299057,1196.228,+,(VT
612,18,0.072,+,(N
612,426846,1707.384,+,(VT
614,70,0.28,+,(B
614,1288,5.152,+,(N
614,42153,168.612,+,(B
614,44346,177.384,+,(N
614,64923,259.692,+,(B
614,67192,268.768,+,(N
614,110403,441.612,+,(B
614,116403,465.612,+,(N
614,127403,509.612,+,(B
614,134288,537.152,+,(N
614,163788,655.152,+,(B
614,167365,669.46,+,(N
614,199115,796.46,+,(B
614,204519,818.076,+,(N
614,313865,1255.46,+,(B
614,315115,1260.46,+,(N
614,324019,1296.076,+,(B
614,326115,1304.46,+,(N
614,341365,1365.46,+,(B
614,355942,1423.768,+,(VT
615,38,0.152,+,(AFIB
615,81711,326.844,+,(VT
615,82711,330.844,+,(AFIB
615,126961,507.844,+,(VT
615,128211,512.844,+,(AFIB
615,151346,605.384,+,(VT
615,155596,622.384,+,(AFIB
615,278538,1114.152,+,(VT
615,279519,1118.076,+,(AFIB
615,503384,2013.536,+,(VT
615,504634,2018.536,+,(AFIB
